file	self_time_per_call	self_time	num_calls	line	total_time_per_call	total_time	method
null	7.677747582632876e-08	0.0194376	253168	0	7.677747582632876e-08	0.0194376	"built-in method builtins.len"
null	3.0909090909090907e-07	3.3999999999999996e-06	11	0	3.0909090909090907e-07	3.3999999999999996e-06	"built-in method builtins.max"
null	1.6e-07	1.6e-06	10	0	1.6e-07	1.6e-06	"built-in method builtins.min"
null	6.1e-06	6.1e-06	1	0	6.1e-06	6.1e-06	"built-in method builtins.round"
null	4e-07	8e-07	2	0	4e-07	8e-07	"built-in method builtins.setattr"
null	1.9e-06	1.9e-06	1	0	1.9e-06	1.9e-06	"built-in method builtins.sorted"
null	1.318181818181818e-07	2.8999999999999998e-06	22	0	1.318181818181818e-07	2.8999999999999998e-06	"built-in method _imp.acquire_lock"
null	1.818181818181818e-07	4e-06	22	0	1.818181818181818e-07	4e-06	"built-in method _imp.release_lock"
null	3.1e-06	6.2e-06	2	0	3.1e-06	6.2e-06	"built-in method _imp.is_builtin"
null	5.75e-07	2.3e-06	4	0	5.75e-07	2.3e-06	"built-in method _imp.is_frozen"
null	1e-06	4e-06	4	0	1e-06	4e-06	"built-in method _imp._fix_co_filename"
null	0.000100875	0.0004035	4	0	0.000100875	0.0004035	"built-in method marshal.loads"
null	2.2333333333333333e-06	6.699999999999999e-06	3	0	2.2333333333333333e-06	6.699999999999999e-06	"built-in method _json.encode_basestring"
null	2e-07	2e-07	1	0	2e-07	2e-07	"method 'disable' of '_lsprof.Profiler' objects"
null	1.6799999999999998e-06	8.4e-06	5	0	1.6799999999999998e-06	8.4e-06	"built-in method utcnow"
null	1.838e-05	9.19e-05	5	0	1.838e-05	9.19e-05	"method 'strftime' of 'datetime.date' objects"
null	1.05e-06	2.1e-06	2	0	1.05e-06	2.1e-06	"built-in method time.time"
