line	num_calls	total_time_per_call	total_time	file	method	self_time	self_time_per_call
0	1	1.1e-06	1.1e-06	null	"method 'values' of 'mappingproxy' objects"	1.1e-06	1.1e-06
0	424472	2.3466306375921144e-07	0.0996079	null	"method 'get' of 'dict' objects"	0.067911	1.5998935147665807e-07
0	2	3e-07	6e-07	null	"method 'pop' of 'dict' objects"	6e-07	3e-07
0	2	1.5e-07	3e-07	null	"method 'keys' of 'dict' objects"	3e-07	1.5e-07
0	1	3e-07	3e-07	null	"method 'items' of 'dict' objects"	3e-07	3e-07
0	1	0.4019315	0.4019315	null	"method 'clear' of 'dict' objects"	0.4019315	0.4019315
0	3	2.6666666666666667e-07	8e-07	null	"method 'copy' of 'list' objects"	8e-07	2.6666666666666667e-07
0	2	2e-07	4e-07	null	"method 'append' of 'list' objects"	4e-07	2e-07
0	3	1.3333333333333332e-06	4e-06	null	"method 'extend' of 'list' objects"	2.5999999999999997e-06	8.666666666666666e-07
0	1	1.1799999999999999e-05	1.1799999999999999e-05	null	"method 'remove' of 'list' objects"	1.1799999999999999e-05	1.1799999999999999e-05
0	12	3.75e-07	4.5e-06	null	"built-in method from_bytes"	4.5e-06	3.75e-07
0	4	1.75e-07	7e-07	null	"method 'add' of 'set' objects"	7e-07	1.75e-07
0	6	1.7916666666666667e-05	0.0001075	null	"method 'encode' of 'str' objects"	0.0001075	1.7916666666666667e-05
0	20	3.2999999999999996e-07	6.5999999999999995e-06	null	"method 'replace' of 'str' objects"	6.5999999999999995e-06	3.2999999999999996e-07
0	23	2.8695652173913043e-07	6.5999999999999995e-06	null	"method 'split' of 'str' objects"	6.5999999999999995e-06	2.8695652173913043e-07
0	8	5.5e-07	4.4e-06	null	"method 'rsplit' of 'str' objects"	4.4e-06	5.5e-07
0	71	2.3661971830985912e-07	1.68e-05	null	"method 'join' of 'str' objects"	1.68e-05	2.3661971830985912e-07
0	16	3.2499999999999996e-07	5.199999999999999e-06	null	"method 'find' of 'str' objects"	5.199999999999999e-06	3.2499999999999996e-07
0	4	1.75e-07	7e-07	null	"method 'partition' of 'str' objects"	7e-07	1.75e-07
0	7	1.2857142857142855e-07	9e-07	null	"method 'lower' of 'str' objects"	9e-07	1.2857142857142855e-07
0	10	1.7e-07	1.6999999999999998e-06	null	"method 'lstrip' of 'str' objects"	1.6999999999999998e-06	1.7e-07
0	130	1.1153846153846154e-07	1.45e-05	null	"method 'rstrip' of 'str' objects"	1.45e-05	1.1153846153846154e-07
0	29	2.4482758620689657e-07	7.1e-06	null	"method 'rpartition' of 'str' objects"	7.1e-06	2.4482758620689657e-07
0	2	6.75e-06	1.35e-05	null	"method 'strip' of 'str' objects"	1.35e-05	6.75e-06
0	7	3.857142857142857e-07	2.7e-06	null	"method 'startswith' of 'str' objects"	2.7e-06	3.857142857142857e-07
0	14	2.857142857142857e-07	4e-06	null	"method 'endswith' of 'str' objects"	4e-06	2.857142857142857e-07
0	5	9.8e-07	4.9e-06	null	"method 'format' of 'str' objects"	4.9e-06	9.8e-07
0	5	1.57e-05	7.85e-05	null	"built-in method builtins.__build_class__"	5.51e-05	1.102e-05
0	1	0.0007965	0.0007965	null	"built-in method builtins.__import__"	2.4999999999999998e-06	2.4999999999999998e-06
0	4	1.575e-06	6.3e-06	null	"built-in method builtins.any"	3.9e-06	9.75e-07
0	1	1e-07	1e-07	null	"built-in method builtins.callable"	1e-07	1e-07
0	96	1.3333333333333334e-07	1.28e-05	null	"built-in method builtins.chr"	1.28e-05	1.3333333333333334e-07
0	4	0.0006822	0.0027288	null	"built-in method builtins.exec"	9.8e-06	2.45e-06
0	26	4.6538461538461534e-07	1.21e-05	null	"built-in method builtins.getattr"	1.21e-05	4.6538461538461534e-07
0	79	3.7468354430379743e-07	2.9599999999999998e-05	null	"built-in method builtins.hasattr"	2.9599999999999998e-05	3.7468354430379743e-07
0	144	9.305555555555555e-08	1.3399999999999999e-05	null	"built-in method builtins.hex"	1.3399999999999999e-05	9.305555555555555e-08
0	242542	7.578110182978618e-08	0.0183801	null	"built-in method builtins.id"	0.0183801	7.578110182978618e-08
0	60720	9.349967061923583e-08	0.0056773	null	"built-in method builtins.isinstance"	0.0056773	9.349967061923583e-08
0	10	1.2999999999999997e-07	1.2999999999999998e-06	null	"built-in method builtins.issubclass"	1.2999999999999998e-06	1.2999999999999997e-07
0	253168	7.731861846678884e-08	0.019574599999999998	null	"built-in method builtins.len"	0.019574599999999998	7.731861846678884e-08
0	11	3.272727272727273e-07	3.6e-06	null	"built-in method builtins.max"	3.6e-06	3.272727272727273e-07
0	10	1.9e-07	1.9e-06	null	"built-in method builtins.min"	1.9e-06	1.9e-07
0	1	4.8e-06	4.8e-06	null	"built-in method builtins.round"	4.8e-06	4.8e-06
0	2	8e-07	1.6e-06	null	"built-in method builtins.setattr"	1.6e-06	8e-07
0	1	1.8e-06	1.8e-06	null	"built-in method builtins.sorted"	1.8e-06	1.8e-06
0	22	2.0454545454545456e-07	4.5e-06	null	"built-in method _imp.acquire_lock"	4.5e-06	2.0454545454545456e-07
0	22	1.6818181818181818e-07	3.6999999999999997e-06	null	"built-in method _imp.release_lock"	3.6999999999999997e-06	1.6818181818181818e-07
0	2	4.8e-06	9.6e-06	null	"built-in method _imp.is_builtin"	9.6e-06	4.8e-06
0	4	9e-07	3.6e-06	null	"built-in method _imp.is_frozen"	3.6e-06	9e-07
0	4	1.2e-06	4.8e-06	null	"built-in method _imp._fix_co_filename"	4.8e-06	1.2e-06
0	4	0.000105875	0.0004235	null	"built-in method marshal.loads"	0.0004235	0.000105875
0	3	1.3333333333333332e-06	4e-06	null	"built-in method _json.encode_basestring"	4e-06	1.3333333333333332e-06
0	1	5e-07	5e-07	null	"method 'disable' of '_lsprof.Profiler' objects"	5e-07	5e-07
0	5	1.26e-06	6.3e-06	null	"built-in method utcnow"	6.3e-06	1.26e-06
0	5	1.604e-05	8.02e-05	null	"method 'strftime' of 'datetime.date' objects"	8.02e-05	1.604e-05
0	2	9.5e-07	1.9e-06	null	"built-in method time.time"	1.9e-06	9.5e-07
